location;name
LTD06;Dipòsit El Francaset
LTD07;Dipòsit Roda de Barà-Costa Daurada
LTD08;Dipòsit Roda de Barà-Sant Gaietà
LTD09;Dìpòsit Els Masos
LTD10;Dipòsit La Pobla de Montornès
LTD11;Dipòsit Coto del Rey
LTD12;(OBSOLET) Dipòsit Centre Penitenciari Mas Enric
LTD13;Dipòsit Pou Torredembarra (S. Antoni)
LTD14;Dipòsit Roda de Berà Nord
LTD15;Dipòsit Bonastre
LTS01;Secc. 13711 Escorpí
LTS02;Secc. 3799 gossos
LTS03;Secc. 10193 anterior EB-5
LTS41;Secc. 13846 ramal Altafulla
LTT01;Terciària Boscos
LTT02;Terciària El Mèdol
LTT03;Terciària La Mora
LTT04;Terciària de Ferran
LTT05;Terciària Pou Torredembarra (Sant Antoni)
LTT06;Terciària Altafulla
LTT07;Terciària Vertosa (Torredembarra)
LTT08;Terciària Torredembarra
LTT09;Terciària Creixell
LTT10;Terciària Roda de Barà Nord
LTT11;Terciària Ramal Roda de Barà
LTT12;Terciària Coto del Rey
LTT61;Subterciària Pou Torredembarra (Sant Antoni)
LTT81;Subterciària Sant Gaietà-Costa Daurada
MARIA;Maria Solà
MOC13;Operari contracte MOCCAT13
MSOLA;Maria Solà
MV01A;Tram entre CRT03-MVB13
MV01B;Tram entre MVB13-MVT01
MV01C;Tram entre MVT01-MVT02
MV01D;Tram entre MVT02-MVD01
MV02A;Tram entre MVT01-MVD02
MV03A;Tram entre MVT02-MVD03
MV04A;Tram entre MVT03-MVD04
MV05A;Tram entre MVT04-MVD05
MVB13;Estació Bombament La Pobla de Mafumet EB-13
MVD01;Dipòsit Regulador Vilallonga del Camp
MVD02;Dipòsits La Pobla de Mafumet Nums 1 i 2
MVD03;Dipòsit El Morell
MVD04;Dipòsit La Pobla de Mafumet nou
MVD05;Dipòsit El Rourell
MVD06;Dipòsit Vilallonga del Camp
MVS01;Secc. 5244 entrada a Vilallonga
MVT01;Terciària La Pobla de Mafumet (antiga)
MVT02;Terciària El Morell-Vilallonga del Camp
MVT03;Terciària La Pobla de Mafumet nova
MVT04;Terciària el Rourell
NC010;Planta Baixa
NC020;Planta -1
NC030;Backup L.L.C.C.
NC031;Sala Servidors Central
NC032;Sala Operadors
NC040;Edificació
NC050;Planta +1
NC060;Instal·lacions
NM010;Magatzem Gran
NM020;Arxiu
NM030;Edificació
NM040;Magatzem neteja
NT010;Laboratori Elèctric
NT020;Laboratori Electrònic
NT030;Taller Mecànic
NT040;Despatxos
NT050;Magatzem Petit
NT060;Edificació
NU010;Sala UPS
NU020;Sala Grup Electrogen
NU030;Edificació
NU040;Magatzem distribució
OFTEC;Usuari Oficina Tècnica
OPERS;
PA01A;Tram entre PAB01-PAT01
PA01B;Tram entre PAT01-PAT02
PA01C;Tram entre PAT02-PAT03
PA01D;Tram entre PAT03-PAT04
PA01E;Tram entre PAT04-PAT05
PA01F;Tram entre PAT05-PAT06
PA01G;Tram entre PAT06-PAT07
PA01H;Tram entre PAT07-PAT08
PA01I;Tram entre PAT08-PAT09
PA01J;Tram entre PAT09-PAT10 - Inclòs TUNEL
PA01K;Tram entre PAT10-PBT01
PA02A;Tram entre PAT01-PAD01
PA03A;Tram entre PAT02-PAB16
PA03B;Tram entre PAB16-PAD02
PA04A;Tram entre PAT04-PAD03
PA05A;Tram entre PAT05-PAD04
PA06A;Tram entre PAT06-PAD05
PA07A;Tram entre PAT07-PAD06
PA08A;Tram entre PAT08-PAB07
PA08B;Tram entre PAB07-PAD07
PA09A;Tram entre PAT10-PBB02
PA10A;Tram entre PAT11-PAD08
PA10B;Tram entre PAD08-PBB02
PAB01;Estació Bombament Ampolla EB-1
PAB07;Estació de Bombament Vandellòs 2 EB-7
PAB16;Estació de Bombament Perelló EB-16
PAD01;Dipòsit l'Ampolla
PAD02;Dipòsit El Perelló
PAD03;Dipòsit de l'Ametlla
PAD04;Dipòsit Tres Cales
PAD05;Dipòsit Calafató
PAD06;Dipòsit l'Almadrava
PAD07;Dipòsit Vandellòs 2
PAD08;Dipòsit Regulador Coll de Balaguer
PAS01;Secc. 850 antenes
PAS02;Secc. 851 Ametlla reparació tub
PAS03;Secc. 1663 fi tram I-I Ametlla
PAS04;Secc. 1637 Plana del Vent
PAS05;Secc. 27513 boca nord final bypass Coll Balaguer
PAS06;Secc. 14136 Seccionament EB-2
PAT01;Terciària l'Ampolla
PAT02;Terciària El Perelló
PAT03;Terciària Medisa
PAT04;Terciària l'Ametlla
PAT05;Terciària Tres Cales
PAT06;Terciària Calafató
PAT07;Terciària l'Almadrava
PAT08;Terciària Vandellòs 2
PAT09;Terciària Vandellòs 1
PAT10;Terciària Ramal arribada EB-2
PAT11;Terciària Canonada reforç Coll de Balaguer
PAT12;Terciària Baix Ebre-Montsià
PB01A;Tram entre PBB02-PBT01
PB01B;Tram entre PBT01-PBT02
PB01C;Tram entre PBT02-PBT03
PB01D;Tram entre PBT03-PBT04
PB01E;Tram entre PBT04-PBT05
PB01F;Tram entre PBT05-PBT06
PB01G;Tram entre PBT06-PBT07
PB01H;Tram entre PBT07-PBT08
PB01I;Tram entre PBT08-PBT09
PB01J;Tram entre PBT09-PBT10
PB01K;Tram entre PBT10-PBT11
PB01L;Tram entre PBT11-PBT12
PB01M;Tram entre PBT12-PBT13
PB01N;Tram entre PBT13-SCB03
PB02A;Tram entre PBT02-PBB08
PB02B;Tram entre PBB08-PBD01
PB03A;Tram entre PBT03-PBD02
PB04A;Tram entre PBT04-PBD03
PB05A;Tram entre PBT05-PBD04
PB06A;Tram entre PBT06-PBD05
PB07A;Tram entre PBT08-PBD06
PB08A;Tram entre PBT10-PBD07
PB09A;Tram entre PBT11 (Ter. Vila-sec) - PBD08 (Dip. Vila-seca)
PB10A;Tram entre PBT13-PBT91
PB10B;Tram entre PBT91-PBB09
PB10C;Tram entre PBT91-PBD09
PB11A;Tram entre PBB02-PBD10
PB12A;Tram entre PBT13-PBD11
PB13A;Tram entre PBT14-PBD12
PB14A;Tram PBT15-PBD13
PB15A;Tram PBT16-PBD14
PBB02;Estació Bombament EB-2
PBB08;Estació Bombament l'Hospitalet de l'Infant EB-8
PBB09;Estació Bombament Bonavista EB-9
PBC01;Consum nou Montroig
PBC02;Consum Asfaltos Españoles
PBC03;Consum Basf Española
PBC04;Consum Bassell Poliolefinas, AIT
PBC05;Consum BIC Iberia
PBC06;Consum Carburos Metálicos, AIT
PBC07;Consum Clariant Ibérica
PBC08;Consum Covestro
PBC09;Consum DOW, Aitasa
PBC10;Consum EDAR Tarragona
PBC11;Consum ERCROS S.A. (Tarragona)
PBC12;Consum ERCROS S.A. (Vilaseca I)
PBC13;Consum ERCROS S.A. (Vilaseca II)
PBC14;Consum I.Q.O.X.E.
PBC15;Consum Messer Carburos, AIT
PBC16;Consum MOEVE
PBC17;Consum Peak Spain
PBC18;Consum Repsol Butano
PBC19;Consum Repsol Petróleo, AIT
PBC20;Consum Repsol Química AIT
PBC21;Consum RPK Metal Forming SAU
PBD01;Dipòsit l'Hospitalet de l'Infant
PBD02;Dipòsit Mont-roig del Camp
PBD03;Dipòsit Cambrils Oest
PBD04;Dipòsit Cambrils Poble
PBD05;Dipòsit Vinyols i Els Arcs
PBD06;Dipòsit Vilafortuny
PBD07;Dipòsit Salou
PBD08;Dipòsit Vila-Seca
PBD09;Dipòsit Bonavista-Indústries (AITASA)
PBD10;Dipòsit L'Hospitalet de L'Infant 2
PBD11;Dipòsit de CIMALSA
PBD12;Dipòsit Mont-roig Bahía
PBD13;Dipòsit regulador Vila-seca-Nord
PBD14;Dipòsit LOTTE
PBS01;Secc. 1696 Mont-roig
PBT01;Terciària Impulsió EB-2
PBT02;Terciària l'Hospitalet de l'Infant-1
PBT03;Terciària Mont-roig del Camp
PBT04;Terciària Cambrils Oest
PBT05;Terciària Cambrils Poble
PBT06;Terciària Vinyols i els Arcs
PBT07;Terciària Ramal Reus-Riudoms
PBT08;Terciària Vilafortuny
PBT09;Terciària Hormicemex
PBT10;Terciària Salou
PBT11;Terciària Vila-Seca
PBT12;Terciària La Canonja-Pol. Antigons
PBT13;Terciària Ramal Bonavista
